model_name,train_AUC,train_AP,train_recall,train_precision,train_y_pred,train_y_prob,train_y_df,valid_AUC,valid_AP,valid_recall,valid_precision,valid_y_pred,valid_y_prob,valid_y_df,test_AUC,test_AP,test_recall,test_precision,test_y_pred,test_y_prob,test_y_df
xgboost,0.625,0.617,0.575,0.585,[1 0 0 ... 0 1 1],[0.59450406 0.3039971  0.31881005 ... 0.4859495  0.53036773 0.52594924],"[[1]
 [0]
 [0]
 ...
 [1]
 [1]
 [1]]",0.53,0.511,0.557,0.508,[1 1 0 ... 1 1 0],[0.52312285 0.52655935 0.49955752 ... 0.52863204 0.5344914  0.4731792 ],"[[0]
 [1]
 [1]
 ...
 [1]
 [1]
 [1]]",0.528,0.527,0.548,0.536,[1 1 1 ... 0 1 0],[0.52012503 0.5228042  0.5288397  ... 0.4224146  0.5251795  0.41086683],"[[0]
 [0]
 [0]
 ...
 [0]
 [0]
 [0]]"
lightgbm,0.593,0.58,0.56,0.557,[1 0 0 ... 0 1 1],[0.55946613 0.46684344 0.47893453 ... 0.48670332 0.52905596 0.51230456],"[[1]
 [0]
 [0]
 ...
 [1]
 [1]
 [1]]",0.534,0.514,0.56,0.512,[1 1 1 ... 1 1 1],[0.52006774 0.52635045 0.50061121 ... 0.53615404 0.51990495 0.53018111],"[[0]
 [1]
 [1]
 ...
 [1]
 [1]
 [1]]",0.528,0.527,0.561,0.531,[0 1 1 ... 1 1 0],[0.48622658 0.51469455 0.5291321  ... 0.51563662 0.50193373 0.43576498],"[[0]
 [0]
 [0]
 ...
 [0]
 [0]
 [0]]"
