,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains,Instrument
0,2022-09-20 00:00:00-04:00,379.0922665,380.1358361,375.292104,378.1372986,77274900,0,0,0,SPY
1,2022-09-21 00:00:00-04:00,380.1259643,383.276382,371.5312831,371.5411377,106746600,0,0,0,SPY
2,2022-09-22 00:00:00-04:00,370.7436673,372.4370116,367.6523474,368.4202576,89472600,0,0,0,SPY
3,2022-09-23 00:00:00-04:00,364.8366509,364.8760394,357.6596547,362.2474365,122346900,0,0,0,SPY
4,2022-09-26 00:00:00-04:00,360.731278,364.4723725,357.4036574,358.6638184,92581200,0,0,0,SPY
5,2022-09-27 00:00:00-04:00,362.3163331,364.6594522,355.2771514,357.7482605,108294100,0,0,0,SPY
6,2022-09-28 00:00:00-04:00,358.7327351,366.5299717,356.9803233,364.7874146,110802200,0,0,0,SPY
7,2022-09-29 00:00:00-04:00,361.125075,361.4204135,354.1252822,357.1673889,112952300,0,0,0,SPY
8,2022-09-30 00:00:00-04:00,356.1927417,360.2390597,351.5065335,351.6443481,153711200,0,0,0,SPY
9,2022-10-03 00:00:00-04:00,355.4838382,362.8380667,353.642825,360.9281311,89756500,0,0,0,SPY
10,2022-10-04 00:00:00-04:00,366.6284397,372.1416554,360.8888078,372.1121216,103602800,0,0,0,SPY
11,2022-10-05 00:00:00-04:00,367.6031196,373.5790224,365.200933,371.2457581,88065700,0,0,0,SPY
12,2022-10-06 00:00:00-04:00,369.7985541,372.8505157,366.9041165,367.4160767,82333500,0,0,0,SPY
13,2022-10-07 00:00:00-04:00,363.2516024,367.504657,355.3460547,357.1673889,107789500,0,0,0,SPY
14,2022-10-10 00:00:00-04:00,358.3192469,358.5653723,352.1267526,354.4403076,76042800,0,0,0,SPY
15,2022-10-11 00:00:00-04:00,352.6878991,357.4036709,350.1971108,352.1956482,92482800,0,0,0,SPY
16,2022-10-12 00:00:00-04:00,352.618999,354.2434208,350.7779555,351.0339355,76991800,0,0,0,SPY
17,2022-10-13 00:00:00-04:00,343.7978373,361.8142368,342.7148794,360.2980957,147254500,0,0,0,SPY
18,2022-10-14 00:00:00-04:00,362.8380829,364.5216024,351.427712,352.0873413,123737000,0,0,0,SPY
19,2022-10-17 00:00:00-04:00,358.3685011,362.2769744,351.7427934,361.1349487,93168200,0,0,0,SPY
20,2022-10-18 00:00:00-04:00,369.3161195,369.6311673,361.8240461,365.3781128,97162900,0,0,0,SPY
21,2022-10-19 00:00:00-04:00,363.2712756,366.0869661,359.8845873,362.7888794,79746900,0,0,0,SPY
22,2022-10-20 00:00:00-04:00,362.3261855,366.8942881,358.9591762,359.7467957,88283100,0,0,0,SPY
23,2022-10-21 00:00:00-04:00,359.461272,368.9912417,357.9057725,368.4891663,131038400,0,0,0,SPY
24,2022-10-24 00:00:00-04:00,370.064373,374.1697284,367.3274293,372.9981689,85436900,0,0,0,SPY
25,2022-10-25 00:00:00-04:00,372.9194065,379.2792791,372.8012711,378.9544067,78846300,0,0,0,SPY
26,2022-10-26 00:00:00-04:00,375.70554,381.5731619,375.4397354,376.0993347,104087300,0,0,0,SPY
